-0.250,0.938,0.375
-0.250,0.875,0.375
-0.250,0.875,0.375
-0.250,0.875,0.375
-0.250,0.875,0.438
-0.250,0.875,0.438
-0.250,0.875,0.375
-0.250,0.875,0.375
-0.250,0.875,0.375
-0.250,0.875,0.375
-0.250,0.875,0.438
-0.250,0.875,0.438
-0.250,0.875,0.375
-0.250,0.875,0.375
-0.250,0.875,0.375
-0.188,0.875,0.313
-0.188,0.875,0.313
-0.188,0.625,0.188
-0.188,0.625,0.188
-0.188,0.813,0.188
-0.188,0.813,0.188
-0.250,1.125,0.188
-0.250,1.125,0.188
-0.375,2.125,0.438
-0.375,2.125,0.438
-0.375,2.125,0.438
-0.313,1.625,0.313
-0.313,1.625,0.313
0.000,-0.063,0.000
0.000,-0.063,0.000
0.000,0.000,0.063
0.000,0.000,0.063
-1.063,6.188,0.938
-0.250,1.063,0.250
-0.250,1.063,0.250
-0.250,0.625,0.563
-0.250,0.625,0.563
-0.188,1.000,0.188
-0.250,0.938,0.313
-0.250,0.938,0.313
-0.250,0.875,0.313
-0.250,0.875,0.313
-0.188,0.938,0.250
-0.188,0.938,0.250
-0.188,0.938,0.250
-0.188,0.938,0.250
-0.250,0.938,0.313
-0.250,0.938,0.313
-0.188,0.938,0.313
-0.188,0.938,0.313
-0.250,0.938,0.313
-0.250,0.938,0.313
-0.188,0.938,0.313
-0.188,0.938,0.313
-0.250,0.938,0.313
-0.188,0.938,0.313
-0.188,0.938,0.313
-0.188,0.938,0.313
-0.188,0.938,0.313
-0.188,0.938,0.313
-0.188,0.938,0.313
-0.188,0.938,0.313
-0.188,0.938,0.313
-0.188,0.938,0.313
-0.188,0.938,0.313
-0.188,0.938,0.313
-0.188,0.938,0.313
-0.188,0.938,0.313
-0.188,0.938,0.313
-0.188,0.938,0.313
-0.188,0.938,0.313
-0.188,0.938,0.313
-0.188,0.938,0.313
-0.188,0.938,0.313
-0.188,0.938,0.313
-0.188,0.938,0.313
-0.188,0.938,0.313
-0.188,0.938,0.313
